Language,Title,Short description,Full description
en-US,Salati – Prayer Times & Qibla,"Private, accurate Islamic prayer times, Qibla compass & Zakat calculator.","Salati is a private, ad-free Islamic companion for daily prayer. No accounts, no ads, no analytics.

PRAYER TIMES
- Astronomical times for the city you choose (GPS or city search — there is no default city).
- Methods: Muslim World League, Umm al-Qura (Makkah), ISNA, Egyptian Authority, Karachi, Kuwait, Qatar, Dubai, Singapore, and the Moon Sighting Committee.
- Asr by Shafi\'i / Maliki / Hanbali or Hanafi.
- Midnight and last third of the night for Qiyam.

QIBLA COMPASS
- Direction to the Kaaba from your saved location.
- Tilt compensation, flat or upright, with magnetic declination.

HIJRI CALENDAR
- Gregorian and Hijri side by side.
- Islamic New Year, Ashura, Ramadan, Eid al-Fitr, Day of Arafah, Eid al-Adha.
- White Days (Ayyam al-Beed) markers and optional eve-of-fast reminder.

ZAKAT CALCULATOR
- Cash, savings, receivables, gold (several karats), and silver.
- Nisab from gold or silver. Metal prices refresh from a public currency feed (approximate, not a certified bullion quote).

NOTIFICATIONS
- Alerts for Fajr, Dhuhr, Asr, Maghrib, and Isha, plus optional pre-reminders.
- Exact alarms when Android allows them; otherwise inexact alarms.
- Optional downloaded adhan played through a foreground notification with a Stop button.
- Restored after reboot and app update.

PRIVACY & OFFLINE
- No ads, no accounts, no analytics SDKs.
- Location is optional and used only when you tap to detect GPS, or when you pick a city.
- Works offline once a monthly schedule is downloaded."
ar,صلاتي: مواقيت الصلاة والقبلة,مواقيت صلاة دقيقة، بوصلة القبلة وحاسبة الزكاة. بدون إعلانات وبخصوصية تامة.,"صلاتي هو تطبيق إسلامي يومي دقيق، مجاني وخالٍ تماماً من الإعلانات. بدون حسابات، بدون إعلانات، وبدون تتبع للبيانات.

مواقيت الصلاة الدقيقة
• حسابات فلكية دقيقة لموقعك الحالي (عبر GPS أو البحث عن المدينة).
• كبرى طرق الحساب المعتمدة عالمياً: أم القرى (مكة المكرمة)، رابطة العالم الإسلامي، الهيئة المصرية العامة للمساحة، جامعة العلوم الإسلامية بكراتشي، والاتحاد الإسلامي لأمريكا الشمالية (ISNA).
• وقت العصر حسب المذهب الشافعي / المالكي / الحنبلي أو المذهب الحنفي.
• تحديد منتصف الليل والثلث الأخير من الليل لقيام الليل والتهجد.

بوصلة القبلة الدقيقة
• اتجاه مباشر للكعبة المشرفة من موقعك.
• تعويض الميل ثلاثي الأبعاد (3D): تعمل بدقة سواء كان الهاتف مستوياً أو محمولاً باليد.
• تصحيح الانحراف المغناطيسي للبوصلة لضمان دقة الاتجاه.

التقويم الهجري والمناسبات
• عرض التاريخين الهجري والميلادي معاً.
• المناسبات الإسلامية الكبرى: رأس السنة الهجرية، عاشوراء، بداية رمضان، عيد الفطر، يوم عرفة، وعيد الأضحى.
• تحديد أيام البيض (13 و14 و15 من كل شهر هجري) مع تنبيه اختياري لصيام التطوع.

حاسبة الزكاة
• حساب زكاة المال، المدخرات البنكية، الذهب (مختلف العيارات)، والفضة، وعروض التجارة.
• تحديد النصاب تلقائياً بناءً على أسعار الذهب والفضة المحدثة.
• تذكير سنوي بحلول حول الزكاة.

الأذان والتنبيهات
• تنبيهات الأذان للصلوات الخمس (الفجر، الظهر، العصر، المغرب، العشاء) وتذكير مسبق قبل الصلاة.
• منبهات دقيقة تستمر حتى بعد إعادة تشغيل الهاتف.
• وضع صامت تلقائي أثناء الصلاة لعدم الإزعاج في المسجد، ثم إعادة الرنين لوضعه السابق تلقائياً.

خصوصية تامة وعمل بدون إنترنت
• خالٍ تماماً من الإعلانات التي تشتت خشوعك.
• لا يتطلب أي تسجيل دخول، وبياناتك محفوظة على جهازك فقط.
• يعمل بدون إنترنت بعد تحميل جدول مواقيت الشهر."
fr-FR,Salati : Horaires de Prière,"Horaires de prière précis, boussole Qibla et Zakat. Privé et sans publicité.","Salati est un compagnon islamique quotidien précis, respectueux de votre vie privée et totalement sans publicité. Aucun compte requis, aucune publicité, aucun traçage de données.

HORAIRES DE PRIÈRE PRÉCIS
• Calculs astronomiques précis basés sur vos coordonnées (GPS ou recherche manuelle de ville).
• Méthodes de calcul reconnues : Ligue Islamique Mondiale (MWL), Oum al-Qura (La Mecque), Autorité Égyptienne, Karachi, et ISNA.
• Heure du Asr selon les madhabs Shafi\'i / Maliki / Hanbali ou Hanafi.
• Heure du milieu de la nuit et du dernier tiers de la nuit pour les prières nocturnes (Qiyam al-Layl).

BOUSSOLE QIBLA HAUTE PRÉCISION
• Direction précise vers la Sainte Kaaba depuis votre position.
• Compensation d\'inclinaison 3D : fonctionne que le téléphone soit à plat ou tenu verticalement.
• Correction de la déclinaison magnétique pour un alignement sans faille.

CALENDRIER HÉGIRIEN & ÉVÉNEMENTS
• Affichage synchronisé des dates grégoriennes et hégiriennes.
• Fêtes islamiques majeures : Nouvel An hégirien, Achoura, début du Ramadan, Aïd al-Fitr, jour d\'Arafat et Aïd al-Adha.
• Marqueurs des Jours Blancs (13, 14 et 15 de chaque mois hégirien) avec rappel de jeûne au Maghrib.

CALCULATEUR DE ZAKAT
• Calcul complet de la Zakat al-Maal : liquidités, épargne bancaire, or (divers carats), argent et marchandises.
• Seuil du Nissab mis à jour selon les cours de l\'or ou de l\'argent.
• Suivi et rappel de l\'échéance du Hawl (une année lunaire révolue).

NOTIFICATIONS & ADHAN
• Alertes précises pour Fajr, Chourouk, Dhuhr, Asr, Maghrib et Isha, avec rappels anticipés.
• Alarmes exactes fiables, préservées même après redémarrage du téléphone.
• Mode silencieux automatique pendant la prière à la mosquée.

CONFIDENTIALITÉ TOTALE & HORS-LIGNE
• 100% Sans publicité : rien ne vient troubler votre recueillement.
• Aucune création de compte n\'est requise.
• Fonctionne entièrement hors-ligne (offline) une fois le calendrier mensuel chargé."
nl-NL,Salati: Gebedstijden & Qibla,"Nauwkeurige gebedstijden, Qibla kompas en Zakat. Advertentievrij en privé.","Salati is een betrouwbare, privacyvriendelijke en advertentievrije islamitische app voor de dagelijkse gebeden. Geen accounts, geen advertenties en geen data-tracking.

NAUWKEURIGE GEBEDSTIJDEN
• Exacte astronomische berekening op basis van jouw locatie (GPS of stadkeuze).
• Erkende berekeningsmethoden: Muslim World League (MWL), Umm al-Qura (Mekka), Egyptische Autoriteit, Karachi en ISNA.
• Asr-tijd volgens de Shafi\'i / Maliki / Hanbali of Hanafi madhab.
• Midden van de nacht en het laatste derde deel van de nacht voor Qiyam al-Layl en Tahajjud.

NAUWKEURIG QIBLA KOMPAS
• Directe richting naar de Ka\'aba vanaf jouw locatie.
• 3D-kantelcompensatie: werkt platliggend of rechtop in de hand.
• Automatische magnetische declinatiecorrectie voor uiterste precisie.

HIJRI KALENDER & ISLAMITISCHE DAGEN
• Gregoriaanse en Hijri-data overzichtelijk naast elkaar.
• Belangrijke feestdagen: Islamitisch Nieuwjaar, Ashura, start Ramadan, Eid al-Fitr, Dag van Arafah en Eid al-Adha.
• Witte Dagen (Ayyam al-Beed - 13, 14 en 15 van elke Hijri-maand) markering met vastenherinnering.

ZAKAT CALCULATOR
• Complete Zakat-berekening voor contant geld, spaargeld, goud (verschillende karaat), zilver en handelswaar.
• Automatische Nisab-drempel op basis van actuele goud- en zilverkoersen.
• Herinnering voor het verstrijken van de Hawl (één islamitisch maanjaar).

MELDINGEN & ADHAN
• Tijdige meldingen voor Fajr, Zonsopgang, Dhuhr, Asr, Maghrib en Isha, inclusief vroege herinneringen.
• Exacte wekkers die ook na het herstarten van de telefoon actief blijven.
• Automatische stille modus tijdens het gebed in de moskee.

VOLLEDIGE PRIVACY & OFFLINE BESCHIKBAAR
• 100% Advertentievrij: geen storende advertenties tijdens je aanbidding.
• Geen registratie of login vereist.
• Werkt na het downloaden van de maandtabel volledig offline zonder internet."
de-DE,Salati: Gebetszeiten & Qibla,"Präzise Gebetszeiten, Qibla-Kompass & Zakat. Werbefrei und voller Datenschutz.","Salati ist ein präziser, werbefreier und datenschutzfreundlicher islamischer Begleiter für die täglichen Gebete. Keine Benutzerkonten, keine Werbung und kein Tracking.

PRÄZISE GEBETSZEITEN
• Astronomisch genaue Berechnung für Ihren Standort (GPS oder manuelle Stadtauswahl).
• Weltweit anerkannte Berechnungsmethoden: Muslimische Weltliga (MWL), Umm al-Qura (Mekka), Ägyptische Behörde, Karachi und ISNA.
• Asr-Berechnung nach den Rechtsschulen Schafi\'i / Maliki / Hanbali oder Hanafi.
• Anzeige von Mitternacht und dem letzten Drittel der Nacht für das Tahajjud-Gebet.

GENAUER QIBLA-KOMPASS
• Zuverlässige Ausrichtung zur Kaaba von Ihrem Standort aus.
• 3D-Neigungskompensation: funktioniert flach aufliegend oder aufrecht in der Hand.
• Automatische Deklinationskorrektur für unverfälschte Richtungsgenauigkeit.

ISLAMISCHER HIJRI-KALENDER
• Gregorianischer und islamischer Kalender auf einen Blick.
• Wichtige Feiertage: Islamisches Neujahr, Aschura, Ramadan-Beginn, Eid al-Fitr, Tag von Arafah und Eid al-Adha.
• Markierung der Weißen Tage (13., 14. und 15. jedes Hijri-Monats) mit Fastenerinnerung.

ZAKAT-RECHNER
• Umfassende Zakat-Berechnung für Bargeld, Bankguthaben, Gold (verschiedene Karat), Silber und Handelswaren.
• Automatische Nisab-Schwelle basierend auf aktuellen Edelmetallkursen.
• Hawl-Erinnerung (Ablauf eines Mondjahres).

BENACHRICHTIGUNGEN & ADHAN
• Rechtzeitige Benachrichtigungen für Fadschr, Sonnenaufgang, Dhuhr, Asr, Maghrib und Ischa.
• Vorzeitige Erinnerungen (Pre-Reminders) vor Gebetsbeginn.
• Automatische Stummschaltung während des Gebets in der Moschee.

DATENSCHUTZ & OFFLINE-NUTZUNG
• 100% Werbefrei: keine störenden Anzeigen.
• Keine Kontoregistrierung erforderlich.
• Funktioniert nach dem Laden des Monatsplans komplett offline ohne Internet."
es-ES,Salati: Horarios de Oración,"Horarios de oración precisos, brújula Qibla y Zakat. Sin anuncios y privado.","Salati es una aplicación islámica precisa, privada y completamente libre de anuncios para las oraciones diarias. Sin cuentas, sin anuncios y sin recopilación de datos.

HORARIOS DE ORACIÓN EXACTOS
• Cálculos astronómicos precisos según sus coordenadas (GPS o búsqueda de ciudad).
• Métodos internacionales: Liga Mundial Islámica (MWL), Umm al-Qura (La Meca), Autoridad Egipcia, Karachi e ISNA.
• Hora del Asr según los madhabs Shafi\'i / Maliki / Hanbali o Hanafi.
• Indicador de medianoche y del último tercio de la noche para las oraciones nocturnas (Tahiyud).

BRÚJULA DE LA QIBLA PRECISA
• Dirección exacta hacia la Sagrada Kaaba desde su ubicación.
• Compensación de inclinación en 3D: funciona con el teléfono sobre una mesa o en la mano.
• Corrección automática de declinación magnética.

CALENDARIO HIJRI Y FECHAS SAGRADAS
• Fechas gregorianas e islámicas (Hégira) en paralelo.
• Acontecimientos destacados: Año Nuevo Islámico, Ashura, inicio del Ramadán, Eid al-Fitr, Día de Arafah y Eid al-Adha.
• Días Blancos (13, 14 y 15 de cada mes lunar) con recordatorio para el ayuno voluntario.

CALCULADORA DE ZAKAT
• Cálculo completo para efectivo, ahorros bancarios, oro (varios quilates), plata y bienes comerciales.
• Umbral de Nisab actualizado según el precio del oro y la plata.
• Seguimiento del Hawl (un año lunar completo).

NOTIFICACIONES Y ADHÁN
• Alertas para Fayr, Salida del sol, Dhuhr, Asr, Magrib e Isha, con recordatorios previos configurables.
• Alarmas exactas garantizadas que persisten incluso tras reiniciar el dispositivo.
• Modo silencio automático durante la oración en la mezquita.

PRIVACIDAD TOTAL Y MODO SIN CONEXIÓN
• 100% Libre de anuncios: ninguna publicidad interrumpirá su devoción.
• No requiere registro de cuenta.
• Funciona completamente sin conexión a internet (offline) una vez cargado el horario mensual."
id,Salati: Jadwal Sholat & Kiblat,"Jadwal sholat akurat, kompas kiblat & zakat tanpa iklan dan menjaga privasi.","Salati adalah aplikasi pendamping ibadah harian Muslim yang akurat, bebas iklan, dan menjaga privasi sepenuhnya. Tanpa akun, tanpa iklan, dan tanpa pelacak data.

WAKTU SHOLAT AKURAT
• Perhitungan astronomis presisi berdasarkan koordinat lokasi Anda (GPS atau pencarian kota manual).
• Metode perhitungan global terkemuka: Kemenag / SIHAT (Umm al-Qura), Muslim World League (MWL), Egyptian General Authority, Karachi, ISNA, Kuwait, Qatar, Dubai, dan Komite Rukyatul Hilal.
• Waktu Ashar sesuai Mazhab Syafi\'i / Maliki / Hanbali atau Hanafi.
• Penanda waktu pertengahan malam dan sepertiga malam terakhir untuk panduan sholat Qiyamul Lail / Tahajud.

KOMPAS KIBLAT TINGGI PRESISI
• Penunjuk arah Ka\'bah langsung dari koordinat Anda.
• Kompensasi kemiringan 3D: berfungsi saat ponsel diletakkan datar atau dipegang tegak.
• Penyesuaian deklinasi magnetik bumi otomatis untuk akurasi maksimal.

KALENDER HIJRIAH & PUASA SUNNAH
• Tampilan kalender Masehi dan Hijriah berdampingan.
• Informasi hari besar Islam: Tahun Baru Hijriah, Asyura, Awal Ramadan, Idul Fitri, Hari Arafah, dan Idul Adha.
• Penanda jadwal Puasa Ayyamul Bidh (hari ke-13, 14, 15 setiap bulan Hijriah) disertai pengingat sore sebelum berpuasa.

KALKULATOR ZAKAT
• Perhitungan zakat maal menyeluruh: uang tunai, tabungan bank, investasi, emas (berbagai kadar karat), dan perak.
• Batas Nisab otomatis berdasarkan harga emas atau perak terkini.
• Pemantauan Haul Zakat (satu tahun hijriah) dengan integrasi pengingat kalender perangkat.

NOTIFIKASI ADZAN & MODE SENYAP
• Pengingat waktu Subuh, Dzuhur, Ashar, Maghrib, dan Isya serta pengingat awal (pre-reminder).
• Alarm presisi (exact alarms) yang andal dan tetap terjadwal meski perangkat dimuat ulang (reboot).
• Pilihan lantunan Adzan lengkap dengan tombol 'Berhenti' pada panel notifikasi.
• Fitur otomatis Mode Senyap Sholat: mendiamkan suara ponsel sesaat setelah adhan dan mengembalikannya ke profil dering semula setelah sholat selesai.

PRIVASI TOTAL & BISA DIGUNAKAN OFFLINE
• 100% Bebas Iklan & Tanpa Pelacak: tidak ada iklan yang mengganggu kekhusyukan ibadah Anda.
• Tidak memerlukan registrasi akun apa pun.
• Lokasi hanya diakses saat Anda meminta pembaruan GPS.
• Jadwal sholat bulanan yang sudah dimuat tersimpan rapi untuk digunakan secara offline tanpa sambungan internet."
ms-MY,Salati: Waktu Solat & Kiblat,"Waktu solat tepat, kompas kiblat & kalkulator zakat tanpa iklan dan privasi.","Salati ialah aplikasi ibadah harian Muslim yang tepat, bebas iklan dan melindungi privasi anda sepenuhnya. Tanpa akaun, tanpa iklan, dan tanpa penjejak data.

WAKTU SOLAT TEPAT & SAHIH
• Waktu solat astronomi tepat mengikut koordinat lokasi anda (GPS atau carian bandar).
• Pilihan kaedah hisab antarabangsa: Jabatan Kemajuan Islam Malaysia (JAKIM / Singapore MUIS), Liga Dunia Muslim (MWL), Umm al-Qura (Makkah), Mesir, Karachi, dan ISNA.
• Waktu Asar mengikut Mazhab Syafi\'i / Maliki / Hanbali atau Hanafi.
• Waktu tengah malam dan sepertiga malam terakhir untuk panduan Qiyamullail dan solat Tahajjud.

KOMPAS KIBLAT TEPAT
• Panduan arah Kaabah yang tepat dari lokasi semasa anda.
• Pampasan kecondongan 3D: berfungsi tepat sama ada telefon diletakkan rata atau dipegang menegak.
• Pelarasan deklinasi magnetik untuk ketepatan arah kiblat.

KALENDAR HIJRAH & HARI-HARI KEBESARAN ISLAM
• Paparan tarikh Masihi dan Hijrah bersebelahan.
• Menandakan Awal Muharram, Hari Asyura, Permulaan Ramadan, Hari Raya Aidilfitri, Hari Arafah, dan Hari Raya Aidiladha.
• Penanda Hari Putih (Ayyamul Bidh - 13, 14, 15 Hijrah) bersama peringatan puasa sunat pada waktu Maghrib sebelumnya.

KALKULATOR ZAKAT
• Kiraan zakat harta lengkap: wang tunai, akaun simpanan, emas (pelbagai mutu karat), perak dan perniagaan.
• Nilai ambang Nisab automatik mengikut harga pasaran emas atau perak.
• Peringatan Haul Zakat (cukup tempoh setahun hijrah).

PEMBERITAHUAN & AZAN
• Penggera masuk waktu Subuh, Syuruk, Zohor, Asar, Maghrib dan Isyak, berserta peringatan awal.
• Penggera tepat (exact alarm) yang kekal aktif walaupun selepas telefon dimulakan semula.
• Pilihan audio Azan dengan butang 'Henti' pada notifikasi.
• Mod senyap automatik waktu solat untuk mengelakkan gangguan di masjid, dan memulihkan profil bunyi selepas selesai solat.

PRIVASI TERJAMIN & BOLEH DIGUNAKAN LUAR TALIAN
• Tiada iklan yang mengganggu tumpuan ibadah.
• Tiada pendaftaran akaun dan tiada penjejakan latar belakang.
• Jadual waktu bulanan disimpan di dalam peranti untuk kegunaan luar talian (offline) bila-bila masa."
tr-TR,Salati: Namaz Vakti ve Kıble,"Doğru namaz vakitleri, kıble pusulası ve zekat hesaplayıcı. Reklamsız, gizli.","Salati; günlük ibadetleriniz için geliştirilmiş, reklamsız, gizliliğe saygılı ve güvenilir bir İslami uygulamadır. Hesap açma zorunluluğu yok, reklam yok, veri takibi yok.

DOĞRU VE HASSAS NAMAZ VAKİTLERİ
• Bulunduğunuz konuma göre hassas astronomik hesaplamalar (GPS veya şehir arama ile).
• Başlıca hesaplama yöntemleri: Diyanet İşleri Başkanlığı uyumlu açılar, İslam Dünyası Birliği (MWL), Ümmü\'l-Kura (Mekke), Mısır Genel Otoritesi, Karaçi ve ISNA.
• İkindi vakti için Hanefi ve Şafii / Maliki / Hanbeli mezhep seçenekleri.
• Gece yarısı ve teheccüd / seher vakti için gecenin son üçte biri göstergesi.

HASSAS KIBLE PUSULASI
• Kayıtlı konumunuzdan Kabe-i Muazzama\'ya doğru yön gösterimi.
• 3D eğim dengelemesi: Cihazı düz tutarken veya dik konumdayken hassas çalışır.
• Manyetik sapma açısı düzeltmesi ile şaşmayan kıble yönü.

HİCRİ TAKVİM VE MÜBAREK GÜNLER
• Miladi ve Hicri takvim bir arada.
• Önemli dini günler: Hicri Yılbaşı, Aşure Günü, Ramazan başlangıcı, Ramazan Bayramı, Arefe Günü ve Kurban Bayramı.
• Eyyam-ı Biyz (Hicri her ayın 13, 14 ve 15. günleri) beyaz günler orucu göstergesi ve oruç hatırlatması.

ZEKAT HESAPLAYICI
• Nakit para, banka mevduatları, altın (farklı ayarlar) ve gümüş için kapsamlı zekat hesabı.
• Güncel altın veya gümüş kuru üzerinden anlık Nisap miktarı belirleme.
• Zekat Havli (bir kameri yılın dolması) hatırlatıcısı.

EZAN VE VAKİT BİLDİRİMLERİ
• İmsak, Güneş, Öğle, İkindi, Akşam ve Yatsı vakitleri için tam zamanında bildirimler ve ezan sesleri.
• Vakit girmeden önce erken hatırlatma seçeneği.
• Telefon yeniden başlatılsa bile korunan güvenilir alarm altyapısı.
• Namaz esnasında otomatik Sessiz Mod: Ezan sonrasında telefonu otomatik sessize alır ve namaz bitiminde eski ses moduna geri döndürür.

TAM GİZLİLİK VE ÇEVRİMDIŞI KULLANIM
• Reklamsız: İbadetinizi bölecek veya dikkatinizi dağıtacak hiçbir reklam içermez.
• Hesap gerektirmez, kişisel verileriniz cihazınızda kalır.
• İndirilen aylık vakit çizelgesi sayesinde internet olmadan da çevrimdışı (offline) çalışır."
ur,صلاتی: اوقات نماز و قبلہ,درست اوقات نماز، قبلہ نما اور زکوٰۃ کیلکولیٹر۔ اشتہارات کے بغیر، پرائیویسی۔,"صلاتی روزمرہ کی نمازوں کے لیے ایک محفوظ، مستند اور اشتہارات سے پاک اسلامی ایپ ہے۔ بغیر کسی اکاؤنٹ، بغیر اشتہارات اور مکمل پرائیویسی کے ساتھ۔

درست اوقات نماز
• آپ کے منتخب کردہ مقام یا جی پی ایس (GPS) کے مطابق فلکیاتی حساب سے طے شدہ مستند اوقات۔
• مستند طریقے: جامعہ العلوم الاسلامیہ بنوری ٹاؤن کراچی، رابطہ عالم اسلامی (MWL)، ام القریٰ (مکہ مکرمہ)، مصر، کویت، قطر، اور رویت ہلال کمیٹی۔
• عصر کے وقت کے لیے فقہ حنفی اور فقہ شافعی / مالکی / حنبلی کے انتخابات۔
• قیام اللیل اور نماز تہجد کی سہولت کے لیے نصف شب اور ثلثِ اخیر (رات کے آخری تہائی حصے) کی نشاندہی۔

درست قبلہ نما (کمپاس)
• آپ کے محفوظ مقام سے خانہ کعبہ کا درست رخ۔
• تھری ڈی ٹلٹ معاوضہ: موبائل چاہے سیدھا رکھا ہو یا ہاتھ میں اٹھایا ہوا، درست سمت دکھائے۔
• مقناطیسی انحراف (Magnetic Declination) کی خودکار تصحیح۔

ہجری کیلنڈر اور اسلامی ایام
• عیسوی اور ہجری تاریخیں ایک ساتھ۔
• اہم اسلامی مناسبتیں: نیا اسلامی سال، عاشورہ، آغاز رمضان، عید الفطر، یوم عرفہ، اور عید الاضحیٰ۔
• ایام بیض (ہر ہجری مہینے کی 13، 14 اور 15 تاریخ) کے روزوں کی نشاندہی اور پیشگی یاد دہانی۔

جامع زکوٰۃ کیلکولیٹر
• نقدی، بینک بیلنس، سرمایہ کاری، سونا (مختلف قیراط) اور چاندی پر زکوٰۃ کا شرعی حساب۔
• سونے یا چاندی کے مطابق فوری نصاب کی جانچ۔
• زکوٰۃ کا سال مکمل ہونے پر حول (سالانہ جائزہ) کی یاد دہانی۔

اذان اور الرٹس
• فجر، طلوع آفتاب، ظہر، عصر، مغرب اور عشاء کے بروقت الرٹس اور اذان۔
• نماز کے وقت سے کچھ دیر قبل پیشگی یاد دہانی (Pre-reminder)۔
• فون ری اسٹارٹ ہونے کے بعد بھی الارم خودکار طور پر بحال رہتے ہیں۔
• دورانِ نماز فون کو خودکار طور پر سائلنٹ کرنے اور نماز کے بعد واپس معمول پر لانے کی سہولت۔

مکمل پرائیویسی اور آف لائن سہولت
• 100% اشتہارات سے پاک: عبادت میں کوئی رکاوٹ یا اشتہار نہیں۔
• کسی اکاؤنٹ یا سائن ان کی ضرورت نہیں، آپ کا ڈیٹا آپ کے فون میں محفوظ ہے۔
• ایک بار ماہانہ شیڈول ڈاؤن لوڈ ہونے کے بعد انٹرنیٹ کے بغیر مکمل آف لائن کام کرتا ہے۔"
